case_date,fuerte,origin,confirmer,t1_group,t1_pos_fuerte,first_related,first_related_primary,first_related_labels,t1_pos_related,t1_dist,day_offset,lottery,draw_position,source_reference,first_t1_companion,first_t1_dist,first_t1_pos,first_t1_day,first_t1_lottery,first_t1_draw_position
2019-07-27,86,35,46,6|11|43|54|86,5,71,RELACION_DE_TERCER_NIVEL,RELACION_DE_TERCER_NIVEL,,,1,Gana Mas,1,163142,11,-3,2,1,New York 2:30,1
2019-07-29,5,37,50,5|10|42,1,28,RELACION_DE_TERCER_NIVEL,RELACION_DE_TERCER_NIVEL,,,1,Gana Mas,2,163140,10,1,2,2,New York 10:30,1
2019-08-02,26,28,34,21|26|53,2,8,RELACION_DE_SEGUNDO_NIVEL,RELACION_DE_SEGUNDO_NIVEL,,,1,Gana Mas,1,163136,21,-1,1,1,Quiniela Real,3
2019-08-02,100,38,1,20|31|47|52|63|100,6,42,RELACION_DE_SEGUNDO_NIVEL,RELACION_DE_SEGUNDO_NIVEL,,,1,Gana Mas,2,163136,63,-1,5,1,Loteria Nacional,3
2019-08-06,56,40,89,8|19|51|56|67|72,4,17,CANDIDATO_ORIGINAL_ALTERNATIVO,CANDIDATO_ORIGINAL_ALTERNATIVO,,,1,Gana Mas,2,163132,72,2,6,1,Gana Mas,3
2019-08-10,23,42,73,7|18|23|50|55|66|71,3,75,RELACION_DE_TERCER_NIVEL,RELACION_DE_TERCER_NIVEL,,,1,Gana Mas,3,163128,18,-1,2,1,New York 10:30,3
2019-08-13,68,47,76,4|36|68|79|84,3,63,RELACION_DE_TERCER_NIVEL,RELACION_DE_TERCER_NIVEL,,,1,Gana Mas,1,163125,84,2,5,1,New York 2:30,3
2019-08-18,70,44,7,22|59|70|75|91,3,5,RELACION_DE_SEGUNDO_NIVEL,RELACION_DE_SEGUNDO_NIVEL,,,1,Gana Mas,1,163121,91,2,5,1,Loteria Nacional,1
2019-08-20,29,41,22,13|29|93,2,55,RELACION_DE_SEGUNDO_NIVEL,RELACION_DE_SEGUNDO_NIVEL,,,1,Gana Mas,2,163119,93,1,3,2,Quiniela Loteka,1
2019-08-20,69,45,57,69|80,1,8,RELACION_DE_SEGUNDO_NIVEL,RELACION_DE_SEGUNDO_NIVEL,,,1,Gana Mas,1,163119,80,1,2,5,New York 2:30,3
2019-08-23,90,46,42,37|58|74|90,4,83,RELACION_DE_SEGUNDO_NIVEL,RELACION_DE_SEGUNDO_NIVEL,,,1,Gana Mas,1,163116,74,-1,3,1,Quiniela Loteka,1
2019-09-02,83,49,3,35|40|83,3,41,RELACION_DE_SEGUNDO_NIVEL,RELACION_DE_SEGUNDO_NIVEL,,,1,Gana Mas,2,163106,35,-2,1,3,Gana Mas,2
2019-09-03,68,47,92,4|36|68|79|84,3,8,RELACION_DE_TERCER_NIVEL,RELACION_DE_TERCER_NIVEL,,,1,Loteria Nacional,2,109174,4,-2,1,1,New York 2:30,2
2019-09-04,65,52,37,65|97,1,64,RELACION_DE_TERCER_NIVEL,RELACION_DE_TERCER_NIVEL,,,1,Gana Mas,1,163105,97,1,2,4,Loteria Nacional,1
